2016-01-01,星期五,3℃,-8℃,晴,东南风~西北风,小于3级~3-4级
2016-01-02,星期六,5℃,-7℃,晴~多云,东南风~西北风,小于3级~3-4级
2016-01-03,星期日,2℃,-10℃,多云,东南风~西北风,小于3级~3-4级
2016-01-04,星期一,-5℃,-15℃,多云,东南风~西北风,小于3级~3-4级
2016-01-05,星期二,-5℃,-15℃,晴,东南风~西北风,小于3级~3-4级
2016-01-06,星期三,-6℃,-16℃,多云,东南风~西北风,小于3级~3-4级
2016-01-07,星期四,-6℃,-15℃,晴,东南风~西北风,小于3级~3-4级
2016-01-08,星期五,-6℃,-15℃,晴,东南风~西北风,小于3级~3-4级
2016-01-09,星期六,-2℃,-12℃,晴~多云,东南风~西北风,小于3级~3-4级
2016-01-10,星期日,-4℃,-17℃,多云~晴,东南风~西北风,小于3级~3-4级
2016-01-11,星期一,-8℃,-18℃,晴,东南风~西北风,小于3级~3-4级
2016-01-12,星期二,-9℃,-17℃,晴,东南风~西北风,小于3级~3-4级
2016-01-13,星期三,-7℃,-14℃,多云,东南风~西北风,小于3级~3-4级
2016-01-14,星期四,-2℃,-14℃,多云,东南风~西北风,小于3级~3-4级
2016-01-15,星期五,-1℃,-9℃,多云~阴,东南风~西北风,小于3级~3-4级
2016-01-16,星期六,-2℃,-13℃,小雪,东南风~西北风,小于3级~3-4级
2016-01-17,星期日,-11℃,-19℃,多云~晴,东南风~西北风,小于3级~3-4级
2016-01-18,星期一,-11℃,-18℃,晴,东南风~西北风,小于3级~3-4级
2016-01-19,星期二,-8℃,-15℃,晴~多云,东南风~西北风,小于3级~3-4级
2016-01-20,星期三,-5℃,-13℃,小雪,东南风~西北风,小于3级~3-4级
2016-01-21,星期四,-6℃,-19℃,阴,东南风~西北风,小于3级~3-4级
2016-01-22,星期五,-14℃,-24℃,阴~多云,东南风~西北风,小于3级~3-4级
2016-01-23,星期六,-19℃,-24℃,多云,东南风~西北风,小于3级~3-4级
2016-01-24,星期日,-10℃,-18℃,晴,东南风~西北风,小于3级~3-4级
2016-01-25,星期一,-6℃,-17℃,晴~多云,东南风~西北风,小于3级~3-4级
2016-01-26,星期二,-6℃,-16℃,晴,东南风~西北风,小于3级~3-4级
2016-01-27,星期三,-4℃,-14℃,晴~多云,东南风~西北风,小于3级~3-4级
2016-01-28,星期四,-2℃,-12℃,晴~多云,东南风~西北风,小于3级~3-4级
